driver_race,location,n_stops,county_population
Hispanic drivers,12083,1540.0,28633.0
White drivers,12083,8101.0,212705.0
Black drivers,12085,2877.0,6338.0
Hispanic drivers,12085,3243.0,13465.0
White drivers,12085,7414.0,106670.0
Black drivers,12086,12386.0,342576.0
Hispanic drivers,12086,49965.0,1432508.0
White drivers,12086,12009.0,325540.0
Black drivers,12087,943.0,3570.0
Hispanic drivers,12087,3570.0,13129.0
White drivers,12087,8477.0,47231.0
Black drivers,12089,802.0,3818.0
Hispanic drivers,12089,299.0,2009.0
White drivers,12089,3150.0,54965.0
Black drivers,12091,1337.0,13820.0
Hispanic drivers,12091,555.0,10942.0
White drivers,12091,8010.0,119754.0
Black drivers,12093,337.0,2651.0
Hispanic drivers,12093,595.0,6712.0
White drivers,12093,1264.0,21301.0
Black drivers,12095,10723.0,185040.0
Hispanic drivers,12095,14311.0,268260.0
White drivers,12095,28430.0,455255.0
Black drivers,12097,3642.0,21811.0
Hispanic drivers,12097,8704.0,110213.0
White drivers,12097,10540.0,91871.0
Black drivers,12099,15964.0,182512.0
Hispanic drivers,12099,15799.0,211864.0
White drivers,12099,34102.0,702978.0
Black drivers,12101,915.0,17233.0
Hispanic drivers,12101,1367.0,45311.0
White drivers,12101,8386.0,316044.0
Black drivers,12103,1837.0,73111.0
Hispanic drivers,12103,1215.0,60020.0
White drivers,12103,9148.0,621749.0
Black drivers,12105,4210.0,67656.0
Hispanic drivers,12105,4269.0,83429.0
White drivers,12105,17882.0,332769.0
Black drivers,12107,880.0,8595.0
Hispanic drivers,12107,250.0,4513.0
White drivers,12107,3417.0,44277.0
Black drivers,12109,1607.0,8674.0
Hispanic drivers,12109,815.0,9316.0
White drivers,12109,5626.0,145666.0
Black drivers,12111,6008.0,41130.0
Hispanic drivers,12111,7685.0,35925.0
White drivers,12111,15054.0,150102.0
Black drivers,12113,906.0,8170.0
Hispanic drivers,12113,338.0,5778.0
White drivers,12113,7906.0,108597.0
Black drivers,12115,1003.0,13652.0
Hispanic drivers,12115,1495.0,24577.0
White drivers,12115,8301.0,293972.0
Black drivers,12117,1374.0,36586.0
Hispanic drivers,12117,1667.0,62575.0
White drivers,12117,5942.0,235841.0
Black drivers,12119,995.0,7701.0
Hispanic drivers,12119,775.0,5076.0
White drivers,12119,4203.0,86635.0
Black drivers,12121,1080.0,4574.0
Hispanic drivers,12121,378.0,2627.0
White drivers,12121,2552.0,27422.0
Black drivers,12123,423.0,3853.0
Hispanic drivers,12123,106.0,763.0
White drivers,12123,2425.0,13684.0
Black drivers,12125,220.0,3027.0
Hispanic drivers,12125,36.0,658.0
White drivers,12125,984.0,8718.0
Black drivers,12127,2101.0,39980.0
Hispanic drivers,12127,1582.0,44724.0
White drivers,12127,8659.0,325351.0
Black drivers,12129,633.0,3886.0
Hispanic drivers,12129,96.0,905.0
White drivers,12129,4346.0,19893.0
Black drivers,12131,403.0,2662.0
