"state","location_raw","county_name"
IL,"CAMPTON HILLS POLICE","Kane County"
IL,"CANADIAN NATIONAL RAILWAY POLICE",NA
IL,"CANTON PARK DISTRICT POLICE","Fulton County"
IL,"CANTON POLICE","Fulton County"
IL,"CARBON CLIFF POLICE","Rock Island County"
IL,"CARBONDALE POLICE","Jackson County"
IL,"CARLINVILLE POLICE","Macoupin County"
IL,"CARLYLE POLICE","Clinton County"
IL,"CARMI POLICE","White County"
IL,"CAROL STREAM POLICE","DuPage County"
IL,"CARPENTERSVILLE POLICE","Kane County"
IL,"CARRIER MILLS POLICE","Saline County"
IL,"CARROLL COUNTY SHERIFF","Carroll County"
IL,"CARROLLTON POLICE","Greene County"
IL,"CARTERVILLE POLICE","Williamson County"
IL,"CARTHAGE POLICE","Hancock County"
IL,"CARY POLICE","McHenry County"
IL,"CASEY POLICE","Clark County"
IL,"CASEYVILLE POLICE","St. Clair County"
IL,"CASS COUNTY SHERIFF","Cass County"
IL,"CATLIN POLICE","Vermilion County"
IL,"CAVE-IN-ROCK POLICE","Hardin County"
IL,"CEDAR POINT POLICE","LaSalle County"
IL,"CEDARVILLE POLICE","Stephenson County"
IL,"CENTRAL CITY POLICE","Marion County"
IL,"CENTRALIA POLICE","Marion County"
IL,"CENTREVILLE POLICE","St. Clair County"
IL,"CERRO GORDO POLICE","Piatt County"
IL,"CHADWICK POLICE","Carroll County"
IL,"CHAMPAIGN COUNTY SHERIFF","Champaign County"
IL,"CHAMPAIGN COUNTY SHERIFF'S OFFICE","Champaign County"
IL,"CHAMPAIGN POLICE","Champaign County"
IL,"CHANDLERVILLE POLICE","Cass County"
IL,"CHANNAHON POLICE","Will County"
IL,"CHAPIN POLICE","Morgan County"
IL,"CHARLESTON POLICE","Coles County"
IL,"CHATHAM POLICE","Sangamon County"
IL,"CHEBANSE POLICE","Iroquois County"
IL,"CHENOA POLICE","McLean County"
IL,"CHERRY POLICE","Winnebago County"
IL,"CHERRY VALLEY POLICE","Winnebago County"
IL,"CHESTER POLICE","Cook County"
IL,"CHESTERFIELD POLICE","Macoupin County"
IL,"CHICAGO HEIGHTS POLICE","Cook County"
IL,"CHICAGO METRA POLICE","Cook County"
IL,"CHICAGO POLICE","Cook County"
IL,"CHICAGO RIDGE POLICE","Cook County"
IL,"CHICAGO STATE UNIVERSITY POLICE","Cook County"
IL,"CHILLICOTHE POLICE","Peoria County"
IL,"CHRISMAN POLICE","Edgar County"
IL,"CHRISTIAN COUNTY SHERIFF","Christian County"
IL,"CHRISTOPHER POLICE","Franklin County"
IL,"CICERO POLICE","Cook County"
IL,"City Of Maroa Police Department","Macon County"
IL,"CLARENDON HILLS POLICE","DuPage County"
IL,"CLARK COUNTY SHERIFF","Clark County"
IL,"CLAY COUNTY SHERIFF","Clay County"
IL,"CLAYTON POLICE","Adams County"
IL,"CLIFTON POLICE","Iroquois County"
IL,"CLINTON COUNTY SHERIFF","Clinton County"
IL,"CLINTON POLICE","De Witt County"
IL,"COAL CITY POLICE","Grundy County"
IL,"COAL VALLEY POLICE","Rock Island County"
IL,"COATSBURG POLICE","Adams County"
IL,"COBDEN POLICE","Union County"
IL,"Coffeen Police Department","Montgomery County"
IL,"COFFEEN POLICE DEPARTMENT","Montgomery County"
IL,"COFFEEN POLICE","Montgomery County"
IL,"COLCHESTER POLICE","McDonough County"
IL,"COLES COUNTY SHERIFF","Coles County"
IL,"COLFAX POLICE","McLean County"
IL,"COLLEGE OF DUPAGE POLICE","DuPage County"
IL,"COLLEGE OF LAKE COUNTY POLICE","Lake County"
IL,"COLLINSVILLE POLICE","Madison County"
IL,"COLONA POLICE","Henry County"
IL,"COLUMBIA POLICE","Monroe County"
IL,"COLUMBUS POLICE","Adams County"
IL,"COOK COUNTY FOREST PRESERVE POLICE","Cook County"
IL,"COOK COUNTY SHERIFF","Cook County"
IL,"COOK COUNTY SHERIFF'S POLICE","Cook County"
IL,"CORDOVA POLICE","Rock Island County"
IL,"CORTLAND POLICE","DeKalb County"
IL,"COULTERVILLE POLICE","Randolph County"
IL,"COUNTRY CLUB HILLS POLICE","Cook County"
IL,"COUNTRYSIDE POLICE","Cook County"
